,hip1,,hip2,,hip3,,femur1,,femur2,,femur3,,tibia1,,tibia2,,tibia3,
Time,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.758333,0.125793,2.904934,0.130834,2.835473,0.136678,2.710955,0.146962,2.335585,0.156026,2.024152,0.163684,1.758376,0.193868,1.349581,0.285112,1.02817,0.40121,0.655451
0.766667,0.125735,2.904801,0.136775,2.838211,0.136727,2.710983,0.147052,2.335593,0.156147,2.024199,0.163911,1.758376,0.194475,1.349943,0.286167,1.028631,0.402658,0.656085
0.775,0.130463,2.906204,0.130943,2.835621,0.136774,2.710963,0.147132,2.335596,0.156193,2.024196,0.164157,1.758349,0.194968,1.350182,0.287125,1.029101,0.404133,0.656614
0.783333,0.130435,2.906245,0.136134,2.831372,0.137043,2.710617,0.147166,2.335572,0.156362,2.024152,0.164409,1.7583,0.195457,1.350442,0.288085,1.029452,0.405408,0.657121
0.791667,0.130491,2.906329,0.13084,2.835763,0.137,2.710682,0.147146,2.335608,0.156561,2.024208,0.164628,1.758303,0.196052,1.350901,0.289131,1.0295,0.406769,0.657643
0.8,0.130482,2.906399,0.135878,2.831582,0.136999,2.710754,0.147223,2.335697,0.156829,2.024328,0.16491,1.758398,0.19667,1.35138,0.290082,1.030143,0.408265,0.658336
0.808333,0.130459,2.906456,0.130764,2.835947,0.13673,2.711257,0.147261,2.335875,0.157029,2.024519,0.165193,1.758625,0.197337,1.352041,0.291032,1.031051,0.409652,0.659205
0.816667,0.125773,2.90532,0.135813,2.831838,0.13666,2.711491,0.147228,2.336138,0.157209,2.024757,0.165468,1.758962,0.197903,1.35265,0.292041,1.031861,0.411032,0.659773
0.825,0.125789,2.905615,0.132288,2.836632,0.13658,2.711659,0.147184,2.336391,0.157317,2.024936,0.165762,1.759223,0.198413,1.353272,0.293005,1.03259,0.41239,0.660782
0.833333,0.12578,2.905701,0.135749,2.832165,0.136546,2.711742,0.147175,2.336437,0.15741,2.024952,0.166076,1.759314,0.199059,1.353668,0.294022,1.032985,0.413781,0.66151
0.841667,0.125804,2.905651,0.132341,2.836676,0.136573,2.711705,0.147229,2.336432,0.157475,2.024954,0.166315,1.759292,0.199744,1.354141,0.29501,1.033494,0.415297,0.662193
0.85,0.125798,2.905452,0.13575,2.8321,0.136985,2.711232,0.147434,2.336286,0.157631,2.024765,0.166632,1.759097,0.200369,1.354409,0.296081,1.033923,0.416764,0.662628
0.858333,0.130149,2.90643,0.130753,2.836132,0.136964,2.711059,0.147451,2.336132,0.157841,2.024585,0.166889,1.758939,0.200916,1.354504,0.296978,1.034235,0.418182,0.663011
0.866667,0.130105,2.906473,0.135671,2.831921,0.136585,2.711389,0.147265,2.336098,0.158012,2.024564,0.167086,1.75896,0.201421,1.354748,0.297926,1.034586,0.41959,0.663531
0.875,0.130213,2.906558,0.130581,2.836123,0.136809,2.710971,0.14717,2.336074,0.158151,2.024504,0.167284,1.758924,0.202062,1.354996,0.29891,1.034954,0.420968,0.664176
0.883333,0.130111,2.906573,0.135588,2.831992,0.136886,2.711082,0.147307,2.336193,0.158225,2.024587,0.167556,1.759119,0.202715,1.355647,0.299853,1.035558,0.42237,0.664962
0.891667,0.13021,2.906765,0.130799,2.83631,0.136617,2.711612,0.1475,2.336429,0.158265,2.024849,0.167827,1.75945,0.203391,1.356417,0.300852,1.036203,0.423924,0.665916
0.9,0.130224,2.906747,0.135557,2.832099,0.136778,2.711282,0.147438,2.336419,0.158392,2.024874,0.168132,1.759482,0.203948,1.356813,0.301783,1.036661,0.425357,0.666736
0.908333,0.13002,2.906653,0.132111,2.836899,0.136686,2.711366,0.147277,2.33649,0.158527,2.024966,0.168386,1.759535,0.204533,1.357354,0.302705,1.037289,0.426707,0.66749
0.916667,0.125676,2.905659,0.135218,2.83254,0.13643,2.71175,0.147343,2.336524,0.158696,2.024981,0.168589,1.75963,0.205242,1.357812,0.303702,1.037972,0.42822,0.668203
0.925,0.130121,2.906605,0.130667,2.836259,0.136562,2.711653,0.147537,2.336431,0.158906,2.024845,0.168859,1.759472,0.205906,1.358038,0.304717,1.038406,0.429769,0.668896
0.933333,0.130048,2.90655,0.135606,2.832126,0.136876,2.711212,0.147633,2.33642,0.159098,2.024848,0.169142,1.75944,0.206519,1.358348,0.305718,1.038806,0.431306,0.66946
0.941667,0.130155,2.906672,0.132155,2.836714,0.136486,2.711516,0.147409,2.336345,0.159228,2.024821,0.169361,1.759368,0.207127,1.358588,0.306773,1.039121,0.43276,0.669918
0.95,0.130121,2.906582,0.135198,2.832461,0.136726,2.711069,0.147389,2.336278,0.15938,2.024729,0.169632,1.759298,0.207747,1.358816,0.307864,1.039473,0.434346,0.670761
0.958333,0.130042,2.906598,0.132122,2.836845,0.136814,2.71113,0.147512,2.336314,0.159455,2.02479,0.169878,1.759317,0.208397,1.359341,0.308954,1.040145,0.435981,0.671551
0.966667,0.130295,2.906718,0.135355,2.832453,0.136859,2.71119,0.14769,2.336394,0.15954,2.024846,0.17022,1.759359,0.209102,1.359948,0.309995,1.040828,0.437519,0.672268
0.975,0.130268,2.906724,0.130706,2.836425,0.136915,2.711296,0.14779,2.33649,0.15979,2.024913,0.170573,1.759435,0.209833,1.360577,0.311089,1.041546,0.439146,0.673084
0.983333,0.125755,2.905551,0.135679,2.832083,0.136609,2.711712,0.14781,2.33654,0.160153,2.024961,0.170934,1.759436,0.210469,1.360983,0.312145,1.042071,0.440727,0.673813
0.991667,0.130414,2.906773,0.130826,2.836196,0.136603,2.711704,0.147832,2.336585,0.160492,2.025011,0.171244,1.759519,0.211099,1.36122,0.313306,1.042643,0.442267,0.674601
1,0.130399,2.906633,0.129815,2.838398,0.136646,2.711591,0.147951,2.336485,0.160803,2.024974,0.171585,1.759454,0.211802,1.361432,0.314526,1.043013,0.443894,0.675348
1.008333,0.125753,2.905302,0.130843,2.836089,0.137014,2.711087,0.148053,2.336394,0.160988,2.024837,0.171893,1.759386,0.212616,1.361659,0.315777,1.043465,0.445559,0.675876
1.016667,0.130267,2.906518,0.130781,2.835947,0.137048,2.710994,0.148143,2.336339,0.161148,2.024844,0.172244,1.759401,0.213354,1.361876,0.316998,1.043956,0.447225,0.676323
1.025,0.130184,2.906477,0.130764,2.836081,0.136973,2.71097,0.14815,2.336311,0.161237,2.024813,0.172614,1.759428,0.214141,1.362103,0.318183,1.044249,0.44893,0.676794
1.033333,0.130154,2.906497,0.135706,2.832068,0.13693,2.711015,0.148108,2.336248,0.161387,2.024784,0.173002,1.759417,0.214948,1.362573,0.319399,1.0449,0.450642,0.677545
