femur 1		femur 4		tibia 1		tibia4	
X	Y	X	Y	X	Y	X	Y
1.516819	1.332949	1.540099	0.933803	1.663292	0.896339	1.946578	0.965388
1.516797	1.33295	1.540076	0.933802	1.66304	0.897031	1.945919	0.967795
1.516801	1.332954	1.540034	0.933789	1.662693	0.897822	1.945138	0.970336
1.516791	1.332922	1.539966	0.933784	1.662283	0.898609	1.944407	0.972767
1.51679	1.332918	1.539952	0.933755	1.661962	0.899306	1.943604	0.975228
1.516789	1.332896	1.539918	0.933743	1.661687	0.899997	1.942844	0.977702
1.516792	1.332895	1.5399	0.933734	1.661373	0.900806	1.942007	0.980162
1.51679	1.332869	1.539863	0.933712	1.661052	0.901562	1.94119	0.982533
1.516794	1.332891	1.539876	0.933715	1.660826	0.902287	1.940407	0.98501
1.516786	1.332874	1.539871	0.933719	1.660716	0.902857	1.939625	0.987326
1.51679	1.332896	1.539865	0.933734	1.660433	0.903524	1.938852	0.98975
1.516788	1.3329	1.539859	0.933722	1.660101	0.904234	1.937993	0.992045
1.516791	1.332908	1.539857	0.933741	1.659827	0.90489	1.937289	0.9944
